room_id;host_id;room_type;district;district-name;neighbourhood_group;reviews;review_scores_rating;review_scores_overall_satisfaction;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;accommodates;bedrooms;price;minstay;latitude;longitude
7445878;38999048;Private room;20;Brigittenau;2007;0;3.4;4.7;4.6;4.8;4;4.7;5;2;1;23;;48.239809;16.378074
3246434;16412034;Private room;20;Brigittenau;2007;2;4.6;4.8;4;4.7;4.3;4.7;3.5;2;1;56;1;48.241819;16.378836
5165620;12380849;Private room;20;Brigittenau;2005;0;3.2;4.9;4.7;4.2;4.3;4.2;3.3;3;1;68;2;48.23133;16.366622
6379554;7394019;Private room;20;Brigittenau;2003;0;3;4.5;4.2;4.8;4.5;4;4.4;2;1;68;1;48.229292;16.372922
5536046;28706825;Private room;19;Doebling;1908;1;4;3.5;4;4.3;3.7;4;4.5;1;1;40;1;48.241433;16.33491
1317954;4304771;Private room;20;Brigittenau;2005;0;3.5;4;2.7;5;3.7;3.8;4;4;1;72;14;48.232913;16.369757
5990406;31102357;Private room;20;Brigittenau;2007;23;3.6;3.9;2.6;4.4;4.9;4.5;3.3;4;1;62;1;48.242593;16.38638
7298245;37236299;Private room;20;Brigittenau;2008;0;4.5;3.6;5;4.9;5;4.4;4.7;2;1;33;2;48.229769;16.380991
6454313;5116473;Private room;20;Brigittenau;2006;2;4.1;3.9;2.9;4.3;3.5;4.9;4.5;2;1;29;6;48.233898;16.363581
7208023;37744863;Private room;19;Doebling;1909;1;5;4.9;4.8;4.5;4.8;4.6;3.4;2;1;40;1;48.237809;16.345696
6273373;3853334;Private room;20;Brigittenau;2005;0;3.3;4.8;4;4.9;4.1;4.4;3.4;2;1;98;1;48.232687;16.365613
7508669;36490652;Private room;19;Doebling;1902;0;3.8;4.7;2.5;4.8;3.9;3.9;4.6;2;1;68;1;48.245857;16.356131
4812886;24739868;Private room;19;Doebling;1910;7;3.5;4.6;3.5;4.2;4.1;4;4.4;3;1;44;2;48.250109;16.297138
6892125;36115981;Private room;20;Brigittenau;2006;0;2.4;5;3;4.1;5;4;3.9;2;1;34;1;48.234921;16.365089
6918792;36261548;Private room;19;Doebling;1904;0;3.8;4.6;4.1;4;3.8;4.2;4;1;1;25;;48.234887;16.349865
6986931;36632100;Private room;20;Brigittenau;2008;0;3.1;5;3.3;4.1;5;5;3.7;2;1;36;1;48.237266;16.380477
7173014;13050954;Private room;20;Brigittenau;2007;1;2.6;4.2;2.8;4.5;4.8;3.8;4.7;2;1;23;2;48.240263;16.377646
6420891;4584761;Private room;20;Brigittenau;2006;0;3.4;4.4;3.3;4.1;4.7;4.5;5;2;1;45;1;48.232267;16.363637
3169710;16077728;Private room;19;Doebling;1909;0;2.9;3.9;3.3;4.9;4.8;4.8;4.8;1;1;23;2;48.238661;16.338838
4801083;1602427;Private room;20;Brigittenau;2008;3;3.1;5;4.7;4.9;4.9;3.7;5;2;1;37;2;48.231049;16.38708
4803161;24727456;Private room;19;Doebling;1907;2;4.4;4.1;4.3;4.1;4.9;4.3;4.4;2;1;37;1;48.249612;16.321994
6412549;24995199;Private room;19;Doebling;1904;0;2;4.5;3.7;4.6;4.8;3.6;3.3;2;1;55;1;48.233975;16.353825
3053805;2418146;Private room;2;Leopoldstadt;203;15;4.5;3.9;3.4;4.5;3.7;3.9;4.8;2;1;40;2;48.228044;16.375186
7394769;38744012;Private room;20;Brigittenau;2004;0;4.8;3.5;3.1;4.7;4.9;4.5;3.4;2;1;23;1;48.244338;16.370284
766088;4039784;Private room;19;Doebling;1901;0;2.8;4.5;4.2;4.9;3.6;4.3;3.1;2;1;68;3;48.26055;16.363382
4273744;8785838;Private room;19;Doebling;1904;5;2.9;4.8;4.3;4.7;4.9;4.6;4.3;2;1;56;1;48.241026;16.354967
3036731;9055483;Private room;20;Brigittenau;2003;0;2.9;4.9;2.7;4.8;4.8;4.2;3.2;2;1;40;3;48.233413;16.371688
883365;4676245;Private room;20;Brigittenau;2003;10;3.8;3.9;3.9;4.3;4.6;3.6;4.8;1;1;34;1;48.230735;16.37867
7132159;9732376;Private room;19;Doebling;1910;1;4.1;4.3;4.4;4.4;4;4.9;4.6;2;1;26;1;48.241635;16.323837
4501014;23343350;Private room;10;Favoriten;1018;0;4.6;4.4;4.5;5;4.5;3.5;2.7;2;1;54;1;48.136586;16.404053
849381;4192982;Private room;10;Favoriten;1002;0;2.2;3.9;4.1;4.6;4.2;4.3;2.5;2;1;56;3;48.174652;16.393426
1806236;5414950;Private room;22;Donaustadt;2228;0;3.2;3.6;4.2;4.2;4;4.2;1.5;1;1;23;4;48.214106;16.530061
5178035;26044130;Private room;22;Donaustadt;2219;0;4.3;4.4;2.8;5;3.8;4.3;2.3;2;1;79;3;48.227134;16.45311
6429334;17456648;Private room;10;Favoriten;1004;2;4;4.7;3.4;4.3;3.9;3.7;4.9;4;1;26;3;48.175092;16.37307
586749;2892239;Private room;22;Donaustadt;2209;21;2.3;5;4;4.5;4.8;4.4;1.6;2;1;30;4;48.251901;16.435243
7231352;3425663;Private room;10;Favoriten;1006;0;2.6;3.8;2.6;4.6;3.6;4.8;4.3;1;1;28;1;48.179097;16.370529
2056475;7997635;Private room;10;Favoriten;1001;11;4.2;4.5;3.9;4.8;4.8;4.3;2;4;1;67;1;48.184512;16.374184
3276733;16565597;Private room;22;Donaustadt;2202;0;3.2;4.3;3.6;4.5;5;4;3.5;1;1;44;1;48.240145;16.489517
6178050;6730871;Private room;22;Donaustadt;2210;2;3.9;4.4;3.9;4.8;4;4.9;1.7;2;1;45;1;48.247202;16.431219
882300;4605302;Private room;10;Favoriten;1007;92;3.2;3.9;3.4;4.4;4.7;4.7;3;2;1;37;1;48.1755;16.365694
7383643;37548272;Private room;10;Favoriten;1004;0;2.5;4.2;4.4;5;4.8;3.7;2.8;2;1;27;1;48.178521;16.375185
5639323;29224606;Private room;10;Favoriten;1008;3;2.4;4.4;5;4.4;4.1;3.7;1.6;2;1;36;1;48.172023;16.355804
7041990;959758;Private room;22;Donaustadt;2228;0;4.6;4.4;3.2;4;3.6;4.9;1.9;3;1;21;1;48.214594;16.511734
15883;62142;Private room;22;Donaustadt;2210;1;2.7;3.7;4.2;4.5;3.8;3.9;4.8;2;1;96;1;48.241436;16.428118
5295365;27424708;Private room;22;Donaustadt;2215;0;4.8;4;3.3;4.3;4.8;3.8;1.9;2;1;56;1;48.234034;16.44971
4293027;21360419;Private room;10;Favoriten;1006;5;4.3;5;5;4.7;4.7;4.5;4.1;3;1;34;2;48.178461;16.367561
6470651;15192408;Private room;22;Donaustadt;2205;1;3.8;4.9;4;4.5;4.9;4.4;2.8;1;1;27;3;48.224378;16.49953
3560889;10865072;Private room;10;Favoriten;1007;66;2.9;3.6;2.9;4.2;3.6;4.2;4.7;2;1;23;1;48.175742;16.366479
7315665;36797653;Private room;10;Favoriten;1006;2;3;4.9;5;4.3;4.7;4.8;2.6;2;1;32;1;48.177967;16.371388
6819435;27928101;Private room;9;Alsergrund;901;0;3.2;4.5;4.3;4;4.3;3.5;4.4;3;1;45;1;48.231787;16.354145
4869473;25048598;Private room;10;Favoriten;1001;20;3.9;4.1;3.9;5;4.7;3.6;2.7;2;1;34;1;48.183842;16.370284
6723592;17166805;Private room;10;Favoriten;1006;0;2.2;3.6;3.2;4.7;4.2;4.7;3.8;2;1;36;1;48.178383;16.366103
6738790;959758;Private room;22;Donaustadt;2228;6;2.3;4.6;3.2;4.9;3.8;4.4;4.4;2;1;21;1;48.214255;16.513677
4825909;8387097;Private room;19;Doebling;1904;1;3.4;3.5;4.5;4.5;3.9;3.8;4.4;2;1;45;1;48.237916;16.355336
2220364;13313662;Private room;10;Favoriten;1004;0;2.7;4.8;3.4;4.4;4.5;3.5;3.9;2;1;93;3;48.174786;16.377133
7042175;959758;Private room;22;Donaustadt;2228;0;2.6;4.7;3.2;4.2;3.7;3.7;4.3;2;1;21;1;48.214542;16.511756
7365213;24642932;Private room;10;Favoriten;1006;0;4.1;4.4;4.5;4.6;3.9;4.6;4.6;2;1;44;1;48.177106;16.364365
5622625;3175984;Private room;10;Favoriten;1004;9;3.4;4.1;3;4.5;4.5;4.6;1.7;3;1;62;1;48.182683;16.374753
6543372;21980885;Private room;10;Favoriten;1007;14;4.2;4.3;4.9;4.5;4.2;4.8;3.7;4;1;34;1;48.175876;16.363905
1302847;413899;Private room;22;Donaustadt;2208;28;3.4;4.4;4.8;4.7;4.5;4.4;2.7;2;1;40;3;48.246125;16.457873
3809679;19550601;Private room;10;Favoriten;1022;0;4.8;4.4;2.9;4.2;3.5;4.4;3.8;2;1;45;2;48.183675;16.374665
7298218;38226768;Private room;10;Favoriten;1006;0;3.8;4;3.5;4.1;3.6;4.5;4.8;3;1;44;;48.176584;16.367358
6900074;36037737;Private room;22;Donaustadt;2228;1;3.7;4.3;3.6;4.4;4.6;3.6;2;2;1;37;1;48.2163;16.527992
1879058;9784354;Private room;10;Favoriten;1004;24;4.4;4.2;5;4.4;3.8;4.3;4.8;1;1;28;1;48.175382;16.375448
4006647;20774338;Private room;10;Favoriten;1002;1;3.8;3.7;3.3;4.8;4.3;3.9;5;4;1;102;1;48.173657;16.380838
691400;3534419;Private room;22;Donaustadt;2213;26;4.4;4.8;3.4;4.5;4.7;3.6;3.6;2;1;45;2;48.246196;16.440645
7471358;39133014;Private room;10;Favoriten;1001;0;2.9;4;4.6;4.7;4.3;3.7;2.3;2;1;33;3;48.177623;16.383355
2657536;13601491;Private room;22;Donaustadt;2226;6;3.1;4.5;3.2;4.2;3.9;4.6;1.6;2;1;54;1;48.207137;16.459784
6384286;20602059;Private room;10;Favoriten;1022;0;3.9;4;4;4.2;4.2;4.5;2.8;2;1;73;1;48.179497;16.376331
1949685;8176314;Private room;19;Doebling;1904;8;2.2;4.2;4.9;4.7;3.7;3.5;3.9;3;1;45;2;48.245263;16.348783
3357283;16940570;Private room;22;Donaustadt;2210;2;2.7;4.7;3.5;4;3.6;4.5;4.8;1;1;36;14;48.245213;16.423731
6360945;33139006;Private room;19;Doebling;1904;0;4.7;4.4;4.6;4.5;4.3;4.4;3.5;2;1;40;1;48.236299;16.350195
5115519;17124966;Private room;13;Hietzing;1304;2;3.6;4.5;2.7;4.4;3.6;4.7;3.9;2;1;36;1;48.186468;16.269545
5877553;11880299;Private room;13;Hietzing;1307;0;2.8;5;2.9;4;3.5;4.4;4;1;1;28;5;48.173171;16.292308
6563340;34333616;Private room;17;Hernals;1701;1;3;4.7;4.5;4.6;3.5;4;3.1;2;1;33;3;48.220479;16.327803
5483946;28439275;Private room;21;Floridsdorf;2111;1;2.8;4.7;4.5;4.2;5;4.6;4.3;2;1;23;7;48.285604;16.410812
6334555;25637236;Private room;17;Hernals;1702;0;2;4.4;3.4;4.8;3.6;5;4.4;3;1;40;1;48.21622;16.338338
3429847;17286310;Private room;21;Floridsdorf;2125;0;4.8;4.5;4.7;4.8;3.5;4.3;2.9;2;1;56;1;48.252294;16.417247
7358160;38553189;Private room;17;Hernals;1702;0;3.9;3.9;2.9;4.9;4.1;4.4;3;2;1;23;1;48.216796;16.334728
4292057;22282486;Private room;14;Penzing;1403;4;4.9;4.7;4.5;4.8;3.5;3.6;5;3;1;33;1;48.189753;16.29679
6280246;20860999;Private room;13;Hietzing;1306;2;3.6;3.8;2.9;4.5;3.7;4.9;4.9;2;1;28;2;48.177583;16.283538
7061784;37029816;Private room;13;Hietzing;1304;0;3.6;3.5;4;4.3;3.6;4.9;4.8;1;1;23;1;48.188622;16.256886
6243203;32411258;Private room;21;Floridsdorf;2125;2;3.4;4.4;3.8;5;4.7;4.8;4.2;2;1;45;1;48.261807;16.42879
5317775;2509597;Private room;13;Hietzing;1302;19;2.9;4.9;4.7;4.7;3.8;4.3;4.6;2;1;40;1;48.183097;16.291503
2018733;10380123;Private room;13;Hietzing;1306;6;4.2;3.5;3.8;4.1;5;3.7;3.7;2;1;87;2;48.177622;16.286428
7088775;37154563;Private room;21;Floridsdorf;2122;0;4;5;3;4.5;4.7;4.4;1.8;1;1;23;1;48.257869;16.393831
4363778;22651018;Private room;17;Hernals;1702;61;2.3;4.5;4.1;4.4;3.7;4.2;3.2;2;1;34;1;48.215574;16.340173
4974014;23868583;Private room;21;Floridsdorf;2122;28;2;4.6;3.6;4.8;4.7;4.6;2.5;2;1;30;1;48.258537;16.393304
7088198;37152229;Private room;10;Favoriten;1022;0;3.9;4.3;3.5;4.7;4.2;4.4;4.9;2;1;34;1;48.177372;16.377698
7297639;38223595;Private room;14;Penzing;1403;0;2;4;4.1;4.5;4.7;3.8;4.2;1;1;23;15;48.190976;16.290386
4992813;5750131;Private room;17;Hernals;1701;27;2.1;4.6;2.7;4;4.1;4.1;4.4;2;1;55;2;48.218825;16.335605
